"mean_forestdens","sd_forestdens","Coniferous_forest","Deciduous_forest","Mixed_forest","Clear_cut","Water_bodies","Arable_land","Human_construction"
52.6951670548491,35.5531801222048,0.240205204584006,0.137437425013446,0.15353109097679,0.451905175623681,0,0,0.0169211038020769
51.1124698827597,33.8427717728319,0.335636273374152,0.0961029290087705,0.133749793149098,0.414736058249214,0,0,0.0197749462187655
48.8646962270174,35.8031869143295,0.263105631180438,0.116347387148827,0.129752989366544,0.473788737639124,0,0,0.0170052546650668
46.7944690187692,32.8416191259995,0.437577562670638,0.0387606519401009,0.174029949532556,0.277736411020104,0.0669314139157773,0,0.00496401092082403
49.3839517134251,30.9966099610875,0.44837428642343,0.0315628361049061,0.162943658476049,0.293207578390006,0.0598990651112766,0,0.00401257549433275
49.2142427447284,30.1246385754895,0.44349768365321,0.0354070152217075,0.141462607544672,0.331733951025811,0.0439692256783587,0,0.0039295168762409
29.6360365747467,32.7488894893109,0.261470357039427,0.0742211741342932,0.0648297546646808,0.411277977741922,0.112241942824045,0.0420338422076042,0.033924951388027
36.2187641438225,34.1927958852753,0.299495325556383,0.0726813932323984,0.120542731860677,0.306114006784148,0.165797964755522,0,0.0353685778108712
30.5034789758006,33.382764406214,0.261045838159854,0.0784792321694523,0.076203872248883,0.352060234982625,0.166887307628661,0.0327238126758233,0.0325997021347013
49.850870896375,33.2093053234557,0.324092846207952,0.0983491249120775,0.127725598907692,0.373825975423063,0.0525880259836981,0,0.0234184285655178
42.19136884444,34.8026512235632,0.297745604963806,0.0948914167528438,0.11789038262668,0.387714581178904,0.0698241985522234,0,0.0319338159255429
45.8316627931619,33.8371882075244,0.289088352084712,0.100099272005295,0.131287227001985,0.387326273990735,0.0667604235605559,0,0.0254384513567174
68.5980659317777,22.4091891404186,0.473274863478405,0.0906834353797783,0.197749462187655,0.225632963759722,0,0,0.0126592751944398
66.3821444764153,23.8082871363326,0.463724354731966,0.100761085373925,0.178275976174719,0.248097286565189,0,0,0.00914129715420251
62.555113976073,27.4862411119904,0.420351602895553,0.122192347466391,0.179979317476732,0.260062047569804,0.00856256463288521,0,0.00885211995863495
59.0952258650833,26.1240848781905,0.552798113909914,0.0148488232617777,0.136493361459238,0.279728667742069,0,0,0.0161310336270009
55.475366791355,28.4737865045386,0.531686936377927,0.0162571357656987,0.110697443534376,0.325639116406056,0,0,0.0157193679159427
52.9591183359514,29.8571201740815,0.507776307081403,0.0191925876902713,0.0966247518199868,0.359447385837194,0.00235771012574454,0,0.0146012574454004
49.3627412293249,34.1354928256497,0.313753877973113,0.157683557394002,0.14200620475698,0.212947259565667,0.121489141675284,0.0278386763185109,0.0242812823164426
52.7194361935117,32.6506382748867,0.34130596706116,0.169659852685591,0.154762890010759,0.207729868410163,0.0764296946122652,0.0278076636596872,0.0223040635603741
55.1572177483973,31.4301355360002,0.35771315103628,0.153849336036073,0.173127042568155,0.225706366607372,0.0479460555164853,0.0203946551938113,0.0212633930418235
54.6440722558059,31.9757831652945,0.388904976626815,0.0567989078724196,0.249865552475903,0.196417490588673,0.0969676912257477,0,0.0110453812104414
51.5091661614434,32.625028434778,0.37287925184143,0.0547877182818836,0.237606554663577,0.260117520483324,0.0645535049242738,0,0.0100554498055119
52.4999833555932,33.000462040348,0.373759099933819,0.0581982131039047,0.247187293183322,0.217943414956982,0.0922816015883521,0,0.0106303772336201
48.9866998193435,30.0228770392299,0.510636536710537,0.0567833788593659,0.0561211820213558,0.250351792070193,0,0.0806224650277295,0.0454846453108186
48.566234297212,29.8887258327366,0.516694939798916,0.0565186809549423,0.0601183334022922,0.226819479498531,0,0.0889569282965783,0.0508916380487401
44.5512998627438,31.7408734845077,0.437624090006618,0.0841330244870946,0.0634513567174057,0.199619457313038,0.0157180675049636,0.143944407677035,0.0555095962938451
49.8188257584329,30.682991372712,0.428128103277061,0.0542866600463423,0.135344256868587,0.357042370076134,0.00612380006620324,0,0.0190748096656736
50.1025819950898,31.6482754756062,0.407199007033513,0.0605709557302441,0.129499379395945,0.332643773272652,0.0509309060819197,0,0.0191559784857261
49.1432232078539,32.8699447725566,0.375325803649001,0.065781308179223,0.130031856356791,0.313474825203757,0.0964792519961938,0,0.0189069546150345
57.7363079491341,30.8050783031152,0.409513960703206,0.0583247156153051,0.253319544984488,0.217869700103413,0.0418200620475698,0,0.0191520165460186
59.3450946194801,29.2962935080997,0.420262276093162,0.0565920655276548,0.274314317627105,0.212302982666612,0.0148512803541141,0.00244073966822488,0.0192363380631283
